object,latitude,longitude,true_location,cluster,PredictedLocation
fence,116.0072570321877,-31.84523158062051,Oakover_Grounds,4,Oakover Grounds
jetty,116.007597008791,-31.84538040931631,Oakover_Grounds,4,Oakover Grounds
picnic_table,116.0075393399854,-31.84537004084413,Oakover_Grounds,4,Oakover Grounds
picnic_table,116.0076604504979,-31.84537006574641,Oakover_Grounds,4,Oakover Grounds
tank,116.0068656915519,-31.84488600975254,Oakover_Grounds,4,Oakover Grounds
tank,116.0066919339338,-31.84485397635064,Oakover_Grounds,4,Oakover Grounds
shed,116.0072291966907,-31.84513430001038,Oakover_Grounds,4,Oakover Grounds
shipping_container,116.0072432872027,-31.84466167779774,Oakover_Grounds,4,Oakover Grounds
shipping_container,116.0072381097506,-31.84469149573804,Oakover_Grounds,4,Oakover Grounds
shipping_container,116.0072390830616,-31.84472428455821,Oakover_Grounds,4,Oakover Grounds
shipping_container,116.0074225863559,-31.84468823575176,Oakover_Grounds,4,Oakover Grounds
vineyard,116.0124205441503,-31.84538344253644,Oakover_Grounds,4,Oakover Grounds
vineyard,116.0066393647114,-31.84424690471754,Oakover_Grounds,4,Oakover Grounds
river,115.995810298809,-31.85109633797458,Lancaster_Wines,-1,
vineyard,115.9902290551793,-31.85068649170797,Lancaster_Wines,5,Lancaster Wines
vineyard,115.9901750632805,-31.85278296339006,Lancaster_Wines,5,Lancaster Wines
parking_lot,115.9901520456193,-31.85188710724418,Lancaster_Wines,5,Lancaster Wines
shed,115.9903190941192,-31.85210550561943,Lancaster_Wines,5,Lancaster Wines
sign,115.9903556704859,-31.8518872114326,Lancaster_Wines,5,Lancaster Wines
table,115.9905306771903,-31.85182659388803,Lancaster_Wines,5,Lancaster Wines
table,115.9905475047897,-31.85182616279369,Lancaster_Wines,5,Lancaster Wines
table,115.9905655610603,-31.85182820538461,Lancaster_Wines,5,Lancaster Wines
table,115.9905862473149,-31.85182506326957,Lancaster_Wines,5,Lancaster Wines
wine_barrell,115.9904467156551,-31.85189307872191,Lancaster_Wines,5,Lancaster Wines
counter,115.9904835715709,-31.85188320881234,Lancaster_Wines,5,Lancaster Wines
shed,115.990598423206,-31.8518732548151,Lancaster_Wines,5,Lancaster Wines
fence,115.9903645411195,-31.85182222748639,Lancaster_Wines,5,Lancaster Wines
sign,115.9877336890102,-31.85198713829637,Lancaster_Wines,5,Lancaster Wines
driveway,115.9889759412021,-31.85192250139609,Lancaster_Wines,5,Lancaster Wines
picnic_table,115.9908535353204,-31.85189392826163,Lancaster_Wines,5,Lancaster Wines
picnic_table,115.990901684718,-31.85187442908764,Lancaster_Wines,5,Lancaster Wines
picnic_table,115.9909205172935,-31.8518030858586,Lancaster_Wines,5,Lancaster Wines
picnic_table,115.9908668295001,-31.8518024058948,Lancaster_Wines,5,Lancaster Wines
picnic_table,115.9908006953241,-31.85180059356636,Lancaster_Wines,5,Lancaster Wines
picnic_table,115.9907526922321,-31.85180195605045,Lancaster_Wines,5,Lancaster Wines
