name,longitude,latitude,date,origin,source,class_confidence,ground_truth_location
Mash Brewery,116.001087,-31.808826,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/1361076725,0.7,None
Yeltrah Gallery,116.0347,-31.835971,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/1378522526,0.7,None
Yagan Memorial Park,116.018903,-31.780373,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/1379548745,0.7,None
Yagan Memorial,116.016948,-31.780415,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/1379548746,0.7,None
Little River Winery and Café,116.000888,-31.824124,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/1415592708,0.7,None
Black Swan Winery and Restaurant,116.00085,-31.823404,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/1415592711,0.7,None
Midland Public Library,116.004166,-31.887785,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/1463847325,0.7,None
Midland Courthouse,116.002322,-31.887401,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/1465060472,0.7,None
Ellenbrook,115.966562,-31.782739,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/1468352790,0.7,None
Woolworths,115.968499,-31.783121,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/1473222546,0.7,None
Coles,115.970274,-31.781925,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/1473222548,0.7,None
Big W,115.96982,-31.783192,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/1473222969,0.7,None
Mineworks Group Workshop,116.035762,-31.895139,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/1491152937,0.7,None
Guildford Old Courthouse,115.971988,-31.898423,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/1504407683,0.7,None
Aveley,115.986226,-31.787069,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/1546255534,0.7,None
Swan View,116.047118,-31.88002,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/1546259484,0.7,None
Midvale,116.026851,-31.886383,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/1546259489,0.7,None
Stratton,116.040477,-31.867155,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/1546259494,0.7,None
Bikeforce Ellenbrook,115.968583,-31.778021,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/1557971661,0.7,None
Feral Brewing Company,116.036584,-31.797927,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/1575142525,0.7,None
Toodyay Road after Roe Highway,116.026145,-31.868314,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/1705017624,0.7,None
Toodyay Road after Brown Street,116.024657,-31.86877,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/1705017634,0.7,None
The Crescent after Keane Street,116.00653,-31.888889,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/1705017788,0.7,None
Moorditj Noongar Community College,116.025978,-31.878289,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/1705084933,0.7,None
Dome Café,116.007147,-31.889829,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/1708115490,0.7,None
Supa IGA,116.004008,-31.89094,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/1708116703,0.7,None
Heritage Trail,116.040801,-31.89401,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/1723839255,0.7,None
Heritage Trail,116.040613,-31.894098,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/1723839274,0.7,None
Heritage Trail,116.040861,-31.894369,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/1723839275,0.7,None
Heritage Trail,116.031588,-31.899647,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/1728787161,0.7,None
Heritage Trail,116.031669,-31.899721,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/1728787167,0.7,None
Bikeforce Midland,116.022826,-31.893001,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/1784667378,0.7,None
Midland Cycles,116.015643,-31.891835,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/1784667382,0.7,None
Skyway Bicycles,116.018964,-31.892322,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/1784667385,0.7,None
East Guildford,115.979991,-31.896448,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/1875097937,0.7,None
Guildford,115.965793,-31.898949,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/1875097938,0.7,None
Woodbridge,115.992868,-31.891518,19-10-23 14:45:23,osm,https://www.openstreetmap.org/node/1875097947,0.7,None
