name,longitude,latitude,date,origin,source,object_prob,assignment_prob,ground_truth_location,cluster,predicted_location
bus_stop,116.019005,-31.812894,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/244783039,0.7,0.5,None,-1,
bus_stop,116.018225,-31.817524,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/244783051,0.7,0.5,None,-1,
bus_stop,116.017884,-31.820073,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/244783063,0.7,0.5,None,-1,
bus_stop,116.017521,-31.820532,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/244783075,0.7,0.5,None,-1,
bus_stop,116.017259,-31.82458,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/244783087,0.7,0.5,None,-1,
bus_stop,116.016862,-31.82525,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/244783098,0.7,0.5,None,-1,
bus_stop,116.016908,-31.828492,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/244783110,0.7,0.5,None,-1,
bus_stop,116.016443,-31.828842,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/244783121,0.7,0.5,None,-1,
bus_stop,116.016683,-31.830918,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/244783132,0.7,0.5,None,-1,
bus_stop,116.016145,-31.831786,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/244783144,0.7,0.5,None,-1,
bus_stop,116.016348,-31.834786,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/244783156,0.7,0.5,None,-1,
bus_stop,116.015742,-31.836747,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/244783168,0.7,0.5,None,-1,
bus_stop,116.015916,-31.84027,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/244783180,0.7,0.5,None,-1,
bus_stop,116.015299,-31.841662,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/244783232,0.7,0.5,None,-1,
bus_stop,116.015073,-31.844386,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/244783243,0.7,0.5,None,-1,
bus_stop,116.015566,-31.844349,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/244783254,0.7,0.5,None,-1,
bus_stop,116.01525,-31.847615,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/244783265,0.7,0.9272272012286126,None,5,Swan Valley Brewery
bus_stop,116.014769,-31.847982,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/244783276,0.7,0.5,None,-1,
bus_stop,116.014595,-31.85016,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/244783284,0.7,0.5,None,-1,
bus_stop,116.015015,-31.850888,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/244783295,0.7,0.5,None,-1,
bus_stop,116.014186,-31.855381,19-10-23 14:40:12,osm,https://www.openstreetmap.org/node/244783305,0.7,0.5,None,-1,
